transaction_date,closing_price,trading_volume,change
2024-05-08,7050,637910,-1.95
2024-05-07,7190,1020000,-5.89
2024-05-03,7640,425230,-0.91
2024-05-02,7710,505020,-4.7
2024-04-30,8090,837780,4.25
2024-04-29,7760,1680000,9.45
2024-04-26,7090,936990,7.42
2024-04-25,6600,223790,-2.94
2024-04-24,6800,306840,-2.02
2024-04-23,6940,476960,1.61
2024-04-22,6830,366650,1.94
2024-04-19,6700,621500,-4.29
2024-04-18,7000,2240000,16.09
2024-04-17,6030,182270,-3.37
2024-04-16,6240,637400,0.9
2024-04-15,6185,602170,-1.47
2024-04-12,6277,1300000,5.84
2024-04-11,5931,358040,-0.26
2024-04-09,5946,322240,-1.9
2024-04-08,6062,545790,0.9
2024-04-05,6008,761820,-0.51
2024-04-04,6039,1890000,-2.24
2024-04-03,6177,9710000,13.58
2024-04-02,5439,1180000,-7.7
2024-04-01,5892,6160000,7.13
2024-03-29,5500,2630000,8.17
2024-03-28,5085,278490,-1.64
2024-03-27,5169,328630,1.66
2024-03-26,5085,268590,1.69
2024-03-25,5000,232170,0.0
2024-03-22,5000,232760,3.17
2024-03-21,4846,348270,0.8
2024-03-20,4808,304600,-3.55
2024-03-19,4985,446410,-3.71
2024-03-18,5177,570410,-23.19
2024-03-17,6740,22620,30.0
2024-03-15,5185,629740,4.82
2024-03-14,4946,434860,-0.46
2024-03-13,4969,332090,0.62
2024-03-12,4939,1700000,6.29
2024-03-11,4646,452560,-27.4
2024-03-10,6400,0,30.0
2024-03-08,4923,648940,-2.44
2024-03-07,5046,633910,-2.96
2024-03-06,5200,816440,-3.29
2024-03-05,5377,1880000,6.23
2024-03-04,5062,733890,-18.89
2024-03-03,6240,0,30.0
2024-02-29,4800,989910,-0.8
2024-02-28,4839,5610000,11.33
2024-02-27,4346,1590000,13.57
2024-02-26,3827,80200,1.74
2024-02-23,3762,81800,-1.81
2024-02-22,3831,143180,0.2
2024-02-21,3823,208660,-1.19
2024-02-20,3869,120180,0.6
2024-02-19,3846,268010,-22.3
2024-02-18,4950,0,30.0
2024-02-16,3808,963490,8.79
2024-02-15,3500,35440,-1.51
2024-02-14,3554,47420,3.7
2024-02-13,3427,42690,-22.9
2024-02-12,4445,0,30.0
2024-02-08,3419,87610,-1.22
2024-02-07,3462,61530,-1.75
2024-02-06,3523,39750,-1.08
2024-02-05,3562,59110,-22.41
2024-02-04,4590,0,30.0
2024-02-02,3531,47310,1.33
2024-02-01,3485,111820,0.67
2024-01-31,3462,86870,-2.18
2024-01-30,3539,39440,0.77
2024-01-29,3512,73340,-3.29
2024-01-26,3631,53350,-1.15
2024-01-25,3673,98730,0.53
2024-01-24,3654,132940,-1.15
2024-01-23,3696,156110,-1.33
2024-01-22,3746,675320,-17.3
2024-01-21,4530,0,30.0
2024-01-19,3485,1340000,-4.63
2024-01-18,3654,1010000,12.56
2024-01-17,3246,35010,-3.32
2024-01-16,3358,23350,0.12
2024-01-15,3354,41870,-23.25
2024-01-14,4370,0,30.0
2024-01-12,3362,15860,-1.02
2024-01-11,3396,22120,0.46
2024-01-10,3381,24160,-0.79
2024-01-09,3408,55100,2.07
2024-01-08,3339,29630,-22.54
2024-01-07,4310,0,30.0
2024-01-05,3315,24010,0.94
2024-01-04,3285,15520,-1.27
2024-01-03,3327,67620,-0.12
2024-01-02,3331,27100,0.7
