transaction_date,closing_price,trading_volume,change
2024-05-08,30750,378800,1.15
2024-05-07,30400,213570,-0.65
2024-05-03,30600,664710,0.99
2024-05-02,30300,943840,4.48
2024-04-30,29000,378240,2.65
2024-04-29,28250,203750,0.18
2024-04-26,28200,458890,3.49
2024-04-25,27250,309650,-1.45
2024-04-24,27650,483660,4.73
2024-04-23,26400,224980,2.72
2024-04-22,25700,445900,-0.19
2024-04-19,25750,568080,-3.92
2024-04-18,26800,1610000,20.99
2024-04-17,22150,310350,-2.64
2024-04-16,22750,286540,-4.21
2024-04-15,23750,320450,-7.77
2024-04-12,25750,256890,2.18
2024-04-11,25200,223430,2.44
2024-04-09,24600,229470,-2.38
2024-04-08,25200,184260,-1.56
2024-04-05,25600,200110,-3.21
2024-04-04,26450,267840,-2.4
2024-04-03,27100,210910,0.37
2024-04-02,27000,508300,-6.25
2024-04-01,28800,497110,1.41
2024-03-29,28400,437840,0.18
2024-03-28,28350,1500000,5.39
2024-03-27,26900,417530,-2.71
2024-03-26,27650,581760,-0.9
2024-03-25,27900,1150000,4.1
2024-03-22,26800,1280000,6.77
2024-03-21,25100,504350,3.29
2024-03-20,24300,280820,1.89
2024-03-19,23850,212290,-1.65
2024-03-18,24250,281940,-1.82
2024-03-17,24700,0,-0.4
2024-03-15,24800,30360,-0.8
2024-03-14,25000,0,-2.53
2024-03-13,25650,1210,4.69
2024-03-12,24500,378280,-2.2
2024-03-11,25050,130,1.01
2024-03-10,24800,0,0.0
2024-03-08,24800,875260,-2.75
2024-03-07,25500,29670,6.69
2024-03-06,23900,420900,-2.65
2024-03-05,24550,490,4.91
2024-03-04,23400,80,1.74
2024-03-03,23000,0,0.0
2024-02-29,23000,913470,-1.08
2024-02-28,23250,430,-5.68
2024-02-27,24650,50,-16.58
2024-02-26,29550,450,0.68
2024-02-25,29350,0,0.0
2024-02-23,29350,3670000,16.01
2024-02-22,25300,0,1.2
2024-02-21,25000,10,-0.99
2024-02-20,25250,30,0.2
2024-02-19,25200,407850,-4.18
2024-02-18,26300,0,0.0
2024-02-16,26300,381330,1.74
2024-02-15,25850,550,0.39
2024-02-14,25750,20,-0.77
2024-02-13,25950,810,13.57
2024-02-12,22850,0,0.0
2024-02-08,22850,319560,1.33
2024-02-07,22550,100,-3.22
2024-02-06,23300,709480,3.1
2024-02-05,22600,380,-4.64
2024-02-04,23700,0,0.0
2024-02-02,23700,404110,0.42
2024-02-01,23600,20,-2.28
2024-01-31,24150,2820,-8.52
2024-01-30,26400,130,1.54
2024-01-29,26000,912410,-9.57
2024-01-28,28750,0,0.0
2024-01-26,28750,462770,2.68
2024-01-25,28000,200,-9.24
2024-01-24,30850,308200,-0.32
2024-01-23,30950,838310,7.28
2024-01-22,28850,369810,-0.52
2024-01-21,29000,0,0.0
2024-01-19,29000,740730,-4.13
2024-01-18,30250,272160,-0.66
2024-01-17,30450,60,0.16
2024-01-16,30400,480,-1.94
2024-01-15,31000,210,-4.17
2024-01-14,32350,0,0.0
2024-01-12,32350,722090,-6.37
2024-01-11,34550,40,1.47
2024-01-10,34050,230,-1.59
2024-01-09,34600,410,1.32
2024-01-08,34150,80,-5.79
2024-01-07,36250,0,0.0
2024-01-05,36250,684670,0.0
2024-01-04,36250,170,-2.55
2024-01-03,37200,140,0.0
2024-01-02,37200,1950000,-7.58
