transaction_date,closing_price,trading_volume,change
2024-05-07,672,60690,1.66
2024-05-03,661,172330,-2.36
2024-05-02,677,73190,0.45
2024-04-30,674,30280,-0.3
2024-04-29,676,53440,0.3
2024-04-26,674,780620,-0.44
2024-04-25,677,74530,-1.02
2024-04-24,684,109860,-0.58
2024-04-23,688,414340,-1.71
2024-04-22,700,37540,0.29
2024-04-19,698,32180,0.43
2024-04-18,695,159950,0.72
2024-04-17,690,28160,0.0
2024-04-16,690,187110,-1.43
2024-04-15,700,121910,-1.27
2024-04-12,709,97560,0.42
2024-04-11,706,114810,-0.56
2024-04-09,710,157140,0.57
2024-04-08,706,121510,-0.56
2024-04-05,710,124850,-2.07
2024-04-04,725,47300,0.28
2024-04-03,723,72120,-1.5
2024-04-02,734,49280,0.0
2024-04-01,734,136790,-3.04
2024-03-29,757,45870,0.8
2024-03-28,751,80850,-2.59
2024-03-27,771,73820,0.39
2024-03-26,768,48240,-0.13
2024-03-25,769,76210,2.53
2024-03-22,750,39510,0.4
2024-03-21,747,89030,-0.4
2024-03-20,750,50450,0.67
2024-03-19,745,99110,-1.59
2024-03-18,757,65840,-2.32
2024-03-15,775,103390,0.91
2024-03-14,768,103550,1.72
2024-03-13,755,246260,-2.45
2024-03-12,774,44540,0.91
2024-03-11,767,86720,-2.29
2024-03-08,785,140690,0.26
2024-03-07,783,43380,-0.76
2024-03-06,789,63120,-0.88
2024-03-05,796,66450,-0.38
2024-03-04,799,93090,0.0
2024-02-29,799,100630,0.13
2024-02-28,798,35490,0.0
2024-02-27,798,52940,0.25
2024-02-26,796,48820,0.0
2024-02-23,796,72320,0.13
2024-02-22,795,95210,-0.63
2024-02-21,800,141680,-0.37
2024-02-20,803,36220,-0.62
2024-02-19,808,96880,2.15
2024-02-16,791,91770,-1.13
2024-02-15,800,197650,1.78
2024-02-14,786,1110000,0.38
2024-02-13,783,207130,1.82
2024-02-08,769,102180,0.79
2024-02-07,763,146950,0.93
2024-02-06,756,73290,0.13
2024-02-05,755,145370,-1.05
2024-02-04,763,0,0.0
2024-02-02,763,108950,0.53
2024-02-01,759,141970,2.02
2024-01-31,744,43480,-0.67
2024-01-30,749,97940,0.54
2024-01-29,745,25110,0.0
2024-01-26,745,53020,0.27
2024-01-25,743,39110,-0.8
2024-01-24,749,83730,-1.96
2024-01-23,764,75330,1.87
2024-01-22,750,60250,0.13
2024-01-19,749,42190,0.0
2024-01-18,749,21440,-0.53
2024-01-17,753,98620,-0.26
2024-01-16,755,67690,0.13
2024-01-15,754,60170,0.67
2024-01-12,749,39830,-0.27
2024-01-11,751,117940,-0.13
2024-01-10,752,47020,-0.53
2024-01-09,756,121650,0.4
2024-01-08,753,68390,-1.7
2024-01-05,766,107180,2.82
2024-01-04,745,111210,-2.36
2024-01-03,763,70590,0.13
2024-01-02,762,44540,-0.78
