transaction_date,closing_price,trading_volume,change
2024-05-08,12400,10950,0.98
2024-05-07,12280,13810,-0.81
2024-05-03,12380,21500,3.0
2024-05-02,12020,14710,0.17
2024-04-30,12000,34840,0.25
2024-04-29,11970,11300,-0.5
2024-04-26,12030,6980,-0.99
2024-04-25,12150,21820,-1.22
2024-04-24,12300,78880,5.58
2024-04-23,11650,10140,0.52
2024-04-22,11590,22450,-0.09
2024-04-19,11600,20530,-0.77
2024-04-18,11690,16320,0.78
2024-04-17,11600,14790,1.05
2024-04-16,11480,27310,-0.52
2024-04-15,11540,22800,-1.87
2024-04-12,11760,21540,0.17
2024-04-11,11740,10140,-0.17
2024-04-09,11760,12220,0.09
2024-04-08,11750,15510,-1.26
2024-04-05,11900,26990,0.34
2024-04-04,11860,13010,0.08
2024-04-03,11850,16840,0.17
2024-04-02,11830,20410,-1.17
2024-04-01,11970,10990,0.0
2024-03-29,11970,24500,-0.83
2024-03-28,12070,18700,-1.79
2024-03-27,12290,16340,-0.08
2024-03-26,12300,25840,0.08
2024-03-25,12290,21380,-1.44
2024-03-22,12470,74350,-0.24
2024-03-21,12500,207740,-1.65
2024-03-20,12710,14320,-1.17
2024-03-19,12860,35290,0.31
2024-03-18,12820,116970,4.23
2024-03-15,12300,2890,1.99
2024-03-14,12060,16500,-0.99
2024-03-13,12180,19270,0.83
2024-03-12,12080,17350,-1.79
2024-03-11,12300,28670,2.5
2024-03-08,12000,26510,0.84
2024-03-07,11900,23220,-1.82
2024-03-06,12120,18900,1.76
2024-03-05,11910,17080,-1.81
2024-03-04,12130,31030,-2.26
2024-02-29,12410,12160,-1.35
2024-02-28,12580,23410,0.56
2024-02-27,12510,10,0.89
2024-02-26,12400,43930,-2.13
2024-02-23,12670,121180,2.26
2024-02-22,12390,52660,1.06
2024-02-21,12260,61010,0.91
2024-02-20,12150,49460,1.84
2024-02-19,11930,23200,1.71
2024-02-16,11730,17230,2.18
2024-02-15,11480,20590,-0.95
2024-02-14,11590,19590,-0.09
2024-02-13,11600,26450,-1.94
2024-02-08,11830,43640,-1.25
2024-02-07,11980,20820,-0.25
2024-02-06,12010,115930,3.36
2024-02-05,11620,7260,-0.85
2024-02-02,11720,18610,1.91
2024-02-01,11500,15170,0.26
2024-01-31,11470,18070,-1.97
2024-01-30,11700,6930,-0.43
2024-01-29,11750,9710,-1.51
2024-01-26,11930,33230,1.45
2024-01-25,11760,13630,-0.51
2024-01-24,11820,16990,-0.25
2024-01-23,11850,9610,0.0
2024-01-22,11850,28830,2.69
2024-01-19,11540,13260,-0.09
2024-01-18,11550,31440,0.43
2024-01-17,11500,7460,-0.43
2024-01-16,11550,15880,-2.61
2024-01-15,11860,5200,0.0
2024-01-12,11860,9640,-0.75
2024-01-11,11950,8290,1.27
2024-01-10,11800,10980,-0.76
2024-01-09,11890,26200,4.3
2024-01-08,11400,20600,1.33
2024-01-05,11250,4770,0.81
2024-01-04,11160,3790,0.36
2024-01-03,11120,6660,0.18
2024-01-02,11100,4730,-1.07
