transaction_date,closing_price,trading_volume,change
2024-05-08,2485,188970,1.02
2024-05-07,2460,349080,-2.19
2024-05-03,2515,366290,-1.57
2024-05-02,2555,432880,-3.04
2024-04-30,2635,564250,-1.5
2024-04-29,2675,545100,0.0
2024-04-26,2675,1410000,-10.08
2024-04-25,2975,2530000,4.39
2024-04-24,2850,1640000,5.56
2024-04-23,2700,702190,1.5
2024-04-22,2660,808930,1.92
2024-04-19,2610,2810000,-1.51
2024-04-18,2650,2270000,14.72
2024-04-17,2310,761690,0.0
2024-04-16,2310,571470,-1.07
2024-04-15,2335,1010000,-8.97
2024-04-12,2565,1310000,-1.72
2024-04-11,2610,4099999,4.82
2024-04-09,2490,12900000,16.36
2024-04-08,2140,848370,-7.16
2024-04-05,2305,978850,-4.55
2024-04-04,2415,1660000,-4.55
2024-04-03,2530,14030000,2.85
2024-04-02,2460,5550000,29.82
2024-04-01,1895,86440,1.12
2024-03-29,1874,123630,0.75
2024-03-28,1860,343870,-1.69
2024-03-27,1892,109270,-1.46
2024-03-26,1920,189280,1.05
2024-03-25,1900,101180,2.7
2024-03-22,1850,101660,-0.11
2024-03-21,1852,75710,-0.22
2024-03-20,1856,181520,-0.27
2024-03-19,1861,152560,-1.53
2024-03-18,1890,223200,-0.79
2024-03-15,1905,41540,1.98
2024-03-14,1868,148950,-0.11
2024-03-13,1870,187340,-0.85
2024-03-12,1886,218860,-0.84
2024-03-11,1902,318020,-3.16
2024-03-08,1964,483390,7.26
2024-03-07,1831,350,-7.99
2024-03-06,1990,1210000,8.92
2024-03-05,1827,291500,-2.25
2024-03-04,1869,283990,-4.15
2024-03-03,1950,0,0.0
2024-02-29,1950,220700,-3.94
2024-02-28,2030,209820,-2.17
2024-02-27,2075,275700,0.48
2024-02-26,2065,1110000,4.61
2024-02-23,1974,149470,3.35
2024-02-22,1910,128000,-1.44
2024-02-21,1938,116640,0.52
2024-02-20,1928,55100,-0.16
2024-02-19,1931,69630,-0.62
2024-02-16,1943,77630,0.05
2024-02-15,1942,82630,0.1
2024-02-14,1940,94580,-0.77
2024-02-13,1955,174990,2.3
2024-02-08,1911,97290,-0.36
2024-02-07,1918,70700,-1.89
2024-02-06,1955,167700,0.83
2024-02-05,1939,102720,-1.52
2024-02-02,1969,91540,0.15
2024-02-01,1966,0,-0.46
2024-01-31,1975,141080,-0.5
2024-01-30,1985,212840,-0.2
2024-01-29,1989,163240,0.45
2024-01-26,1980,163820,-0.95
2024-01-25,1999,300370,-2.49
2024-01-24,2050,512100,3.02
2024-01-23,1990,102710,1.07
2024-01-22,1969,110090,0.15
2024-01-19,1966,139030,0.36
2024-01-18,1959,424200,-1.95
2024-01-17,1998,389840,0.05
2024-01-16,1997,267440,-0.4
2024-01-15,2005,287740,-3.61
2024-01-12,2080,360280,-0.24
2024-01-11,2085,0,-3.47
2024-01-10,2160,20,-2.04
2024-01-09,2205,150230,2.08
2024-01-08,2160,331470,-2.92
2024-01-07,2225,0,0.0
2024-01-05,2225,488230,-3.89
2024-01-04,2315,643960,-7.95
2024-01-03,2515,0,0.2
2024-01-02,2510,486060,4.8
