transaction_date,closing_price,trading_volume,change
2024-05-08,652,943050,1.88
2024-05-07,640,785430,-0.16
2024-05-03,641,763450,-0.62
2024-05-02,645,1210000,0.16
2024-04-30,644,11760000,-4.45
2024-04-29,674,5770000,9.59
2024-04-26,615,727930,0.99
2024-04-25,609,692480,-0.98
2024-04-24,615,1340000,2.67
2024-04-23,599,704390,-1.16
2024-04-22,606,454670,-0.66
2024-04-19,610,971160,-1.61
2024-04-18,620,706410,3.16
2024-04-17,601,667560,-0.83
2024-04-16,606,1850000,-3.5
2024-04-15,628,1270000,-2.94
2024-04-12,647,681280,-0.31
2024-04-11,649,1040000,0.93
2024-04-09,643,1100000,-3.16
2024-04-08,664,2009999,-3.07
2024-04-05,685,1900000,-2.56
2024-04-04,703,1210000,-0.99
2024-04-03,710,3060000,0.57
2024-04-02,706,1780000,-0.98
2024-04-01,713,1550000,0.42
2024-03-29,710,1540000,-0.14
2024-03-28,711,1080000,0.0
2024-03-27,711,1640000,-3.13
2024-03-26,734,3640000,3.67
2024-03-25,708,1120000,-0.28
2024-03-22,710,1610000,-1.25
2024-03-21,719,1620000,0.42
2024-03-20,716,2009999,-1.78
2024-03-19,729,1640000,0.97
2024-03-18,722,2029999,-2.04
2024-03-17,737,0,0.0
2024-03-15,737,3620000,0.55
2024-03-14,733,3030000,-2.91
2024-03-13,755,2440,-0.66
2024-03-12,760,24690,6.29
2024-03-11,715,2540,-4.92
2024-03-10,752,0,0.0
2024-03-08,752,32869999,-2.84
2024-03-07,774,0,13.82
2024-03-06,680,2850000,1.64
2024-03-05,669,6060000,-3.46
2024-03-04,693,2930000,0.43
2024-02-29,690,6390000,-4.43
2024-02-28,722,4140,-3.22
2024-02-27,746,14330,-5.21
2024-02-26,787,1650,-1.13
2024-02-25,796,0,0.0
2024-02-23,796,16480000,-6.35
2024-02-22,850,46140,4.17
2024-02-21,816,93090000,8.08
2024-02-20,755,960,-2.58
2024-02-19,775,13480000,-3.97
2024-02-18,807,0,0.0
2024-02-16,807,55430000,1.38
2024-02-15,796,209990,24.57
2024-02-14,639,1390000,3.57
2024-02-13,617,969170,2.66
2024-02-12,601,0,0.0
2024-02-08,601,912660,-0.33
2024-02-07,603,1100,-1.15
2024-02-06,610,1310000,-1.93
2024-02-05,622,1420000,0.0
2024-02-04,622,0,0.0
2024-02-02,622,1790000,-0.32
2024-02-01,624,10,-4.0
2024-01-31,650,0,-2.4
2024-01-30,666,0,3.9
2024-01-29,641,12890000,4.57
2024-01-28,613,0,0.0
2024-01-26,613,1080000,0.49
2024-01-25,610,24280,-2.71
2024-01-24,627,3640000,-0.32
2024-01-23,629,1210000,2.28
2024-01-22,615,1230000,-1.6
2024-01-19,625,1130000,1.79
2024-01-18,614,2020000,0.33
2024-01-17,612,1250000,-3.77
2024-01-16,636,2630,-2.0
2024-01-15,649,80,-0.92
2024-01-14,655,0,0.0
2024-01-12,655,5740000,0.61
2024-01-11,651,10980000,8.14
2024-01-10,602,1330,-1.47
2024-01-09,611,1170000,0.33
2024-01-08,609,1760000,4.1
2024-01-05,585,539640,0.0
2024-01-04,585,791270,-0.85
2024-01-03,590,588670,-0.67
2024-01-02,594,639310,1.19
